#τ ε τ_err ε_err
-1.570796326794896558e+00 2.776660173627343298e-01 3.140362974000605156e+00 8.363830429734542271e-04
-1.570796326794896558e+00 2.935326469263190852e-01 3.140362974000605156e+00 8.194781944873552604e-04
-1.570796326794896558e+00 3.093992764899038406e-01 3.140362974000605156e+00 8.017493703925682169e-04
-1.570796326794896558e+00 3.252659060534888180e-01 3.140362974000605156e+00 7.832144506914051618e-04
-1.570796326794896558e+00 3.411325356170735734e-01 3.140362974000605156e+00 7.638921222339889461e-04
-1.570796326794896558e+00 3.569991651806583288e-01 3.140362974000605156e+00 7.438018598081574950e-04
-1.570796326794896558e+00 3.728657947442430842e-01 3.140362974000605156e+00 7.229639064530446468e-04
-1.570796326794896558e+00 3.887324243078280617e-01 3.140362974000605156e+00 7.013992530225388045e-04
-1.570796326794896558e+00 4.045990538714128171e-01 3.140362974000605156e+00 6.791296170138849675e-04
-1.570796326794896558e+00 4.204656834349975725e-01 3.140362974000605156e+00 6.561774206852444280e-04
-1.570796326794896558e+00 4.363323129985823279e-01 3.140362974000605156e+00 6.325657684848606799e-04
-1.570796326794896558e+00 4.521989425621673053e-01 3.140362974000605156e+00 6.083184238132033350e-04
-1.570796326794896558e+00 4.680655721257520607e-01 3.140362974000605156e+00 5.834597851420708636e-04
-1.570796326794896558e+00 4.839322016893368161e-01 3.140362974000605156e+00 5.580148615140778645e-04
-1.570796326794896558e+00 4.997988312529217936e-01 3.140362974000605156e+00 5.320092474483395506e-04
-1.570796326794896558e+00 5.156654608165065490e-01 3.140362974000605156e+00 5.054690972742248434e-04
-1.570796326794896558e+00 5.315320903800913044e-01 3.140362974000605156e+00 4.784210989223769417e-04
-1.570796326794896558e+00 5.473987199436760598e-01 3.140362974000605156e+00 4.508924471960940039e-04
-1.570796326794896558e+00 5.632653495072610372e-01 3.140362974000605156e+00 4.229108165504369410e-04
-1.570796326794896558e+00 5.791319790708457926e-01 3.140362974000605156e+00 3.945043334057096729e-04
-1.570796326794896558e+00 5.949986086344305480e-01 3.140362974000605156e+00 3.657015480222902681e-04
-1.570796326794896558e+00 6.108652381980153034e-01 3.140362974000605156e+00 3.365314059656787649e-04
-1.570796326794896558e+00 6.267318677616002809e-01 3.140362974000605156e+00 3.070232191861865800e-04
-1.570796326794896558e+00 6.425984973251850363e-01 3.140362974000605156e+00 2.772066367471293091e-04
-1.570796326794896558e+00 6.584651268887697917e-01 3.140362974000605156e+00 2.471116152226171536e-04
-1.570796326794896558e+00 6.743317564523545471e-01 3.140362974000605156e+00 2.167683888005811355e-04
-1.570796326794896558e+00 6.901983860159395245e-01 3.140362974000605156e+00 1.862074391187906741e-04
-1.570796326794896558e+00 7.060650155795242799e-01 3.140362974000605156e+00 1.554594648552898306e-04
-1.570796326794896558e+00 7.219316451431090353e-01 3.140362974000605600e+00 1.245553511171060279e-04
-1.570796326794896558e+00 7.377982747066940128e-01 3.140362974000606044e+00 9.352613864266334787e-05
